Параметр α,0.01
Параметр β,0.000325
Общая численность N,6159
Критическое значение I*,200.16750000000002
Начальные S0 (случай 2),5925
Начальные I0 (случай 2),173
Начальные R0,61
Случай 1: S кон.,5925.0
Случай 1: I кон.,90.3
Случай 1: R кон.,143.7
Случай 2: S кон.,0.0
Случай 2: I кон.,3532.5
Случай 2: R кон.,2626.5
Пик эпидемии (I_max),5224.1
Время пика (t_max),676.0
